frame,center_x,center_y,disp_x,disp_y,match_score
0,293,423,0,0,1.0
1,295,422,2,-1,0.9862017631530762
2,296,422,3,-1,0.9826738834381104
3,297,424,4,1,0.98268061876297
4,300,426,7,3,0.9823207259178162
5,303,428,10,5,0.9845342636108398
6,305,428,12,5,0.9813588857650757
7,307,428,14,5,0.9762333035469055
8,310,428,17,5,0.9729418158531189
9,310,430,17,7,0.9747905731201172
10,312,433,19,10,0.9694082140922546
11,314,436,21,13,0.9680393934249878
12,317,438,24,15,0.9690337777137756
13,318,440,25,17,0.968188464641571
14,317,442,24,19,0.9587534070014954
15,314,443,21,20,0.9676695466041565
16,312,444,19,21,0.9709538817405701
17,312,443,19,20,0.9711843729019165
18,316,441,23,18,0.9610304832458496
19,316,440,23,17,0.960163950920105
20,316,437,23,14,0.9629418253898621
21,316,436,23,13,0.9552358388900757
22,315,437,22,14,0.9517398476600647
23,315,437,22,14,0.9584971070289612
24,316,437,23,14,0.958235502243042
25,316,436,23,13,0.9583325386047363
26,316,434,23,11,0.959297239780426
27,315,431,22,8,0.9644327163696289
28,316,429,23,6,0.9617152214050293
29,314,433,21,10,0.9620806574821472
30,313,437,20,14,0.9618301391601562
31,313,440,20,17,0.9594270586967468
32,314,440,21,17,0.9576682448387146
33,313,440,20,17,0.9585537910461426
34,313,440,20,17,0.9580177664756775
35,319,440,26,17,0.9568314552307129
36,327,440,34,17,0.9599320888519287
37,332,438,39,15,0.9620925188064575
38,338,436,45,13,0.9550713300704956
39,344,432,51,9,0.9572052359580994
40,348,429,55,6,0.9498577117919922
41,348,429,55,6,0.9528922438621521
42,348,430,55,7,0.95396488904953
43,346,431,53,8,0.9532055854797363
44,344,433,51,10,0.9472086429595947
45,342,432,49,9,0.9508290886878967
46,337,430,44,7,0.9509868621826172
47,334,429,41,6,0.9500110149383545
48,335,429,42,6,0.9535022974014282
49,334,429,41,6,0.9555776715278625
50,333,430,40,7,0.9504445791244507
51,334,431,41,8,0.9553680419921875
52,337,432,44,9,0.9532027244567871
53,337,431,44,8,0.9526474475860596
54,338,431,45,8,0.954492449760437
55,337,430,44,7,0.9558970928192139
56,338,429,45,6,0.9542137384414673
57,340,429,47,6,0.956079363822937
58,335,429,42,6,0.9552697539329529
59,329,429,36,6,0.9596781730651855
60,326,428,33,5,0.9594468474388123
61,326,427,33,4,0.9622779488563538
62,324,425,31,2,0.9610239267349243
63,323,424,30,1,0.9596195220947266
64,327,421,34,-2,0.9642216563224792
65,329,418,36,-5,0.9645676016807556
66,330,416,37,-7,0.9587445855140686
67,331,415,38,-8,0.9618348479270935
68,332,414,39,-9,0.9545353651046753
69,332,416,39,-7,0.9544907808303833
70,337,418,44,-5,0.9514594674110413
71,341,421,48,-2,0.949661910533905
72,342,424,49,1,0.9481522440910339
73,342,425,49,2,0.9462499618530273
74,342,424,49,1,0.9515239596366882
75,341,422,48,-1,0.9528034925460815
76,342,420,49,-3,0.9477201104164124
77,343,419,50,-4,0.9490774273872375
78,344,417,51,-6,0.9466914534568787
79,348,415,55,-8,0.9501280188560486
80,349,412,56,-11,0.949738085269928
81,350,409,57,-14,0.9463976621627808
82,350,407,57,-16,0.9483653903007507
83,346,406,53,-17,0.9471058249473572
84,346,406,53,-17,0.9440745115280151
85,347,406,54,-17,0.9444338083267212
86,347,407,54,-16,0.9434410929679871
87,345,407,52,-16,0.938981831073761
88,342,411,49,-12,0.9423170685768127
89,342,413,49,-10,0.9393957257270813
90,343,412,50,-11,0.9445008039474487
91,343,412,50,-11,0.9426422119140625
92,339,412,46,-11,0.9407962560653687
93,339,412,46,-11,0.9397799968719482
94,338,410,45,-13,0.9413419365882874
95,334,409,41,-14,0.9436956644058228
96,335,409,42,-14,0.940234899520874
97,335,410,42,-13,0.9407604932785034
98,336,412,43,-11,0.945285975933075
99,340,414,47,-9,0.9465653300285339
100,341,416,48,-7,0.9446101188659668
101,341,418,48,-5,0.9420359134674072
102,341,417,48,-6,0.9481672644615173
103,340,414,47,-9,0.9468258619308472
104,346,412,53,-11,0.9446878433227539
105,354,412,61,-11,0.9385308623313904
106,359,414,66,-9,0.9353682994842529
107,358,418,65,-5,0.9361332058906555
108,357,422,64,-1,0.9316320419311523
109,353,423,60,0,0.9360511898994446
110,349,424,56,1,0.9346898794174194
111,348,425,55,2,0.9355978965759277
112,350,426,57,3,0.9351696372032166
113,353,427,60,4,0.9326306581497192
114,355,428,62,5,0.9311246871948242
115,357,429,64,6,0.9251196384429932
116,356,430,63,7,0.9275254607200623
117,356,431,63,8,0.9279653429985046
118,356,431,63,8,0.9284084439277649
119,354,432,61,9,0.9259868264198303
120,351,433,58,10,0.9298675656318665
121,351,433,58,10,0.9344940185546875
122,349,433,56,10,0.9375370144844055
123,346,433,53,10,0.9429728984832764
124,345,433,52,10,0.9423129558563232
125,344,432,51,9,0.9452075362205505
mean,333.1507936507937,425.73015873015873,,,
std,16.044119458897967,10.026482947288397,,,
